도착 시군구,평균 이동시간,평균 이동인구,총 이동시간,총 이동인구
강남구,23.418794242482804,104.45992685003837,6543820,29188819.519998822
강동구,25.931700945451578,73.49357511313603,5082380,14404079.279998645
강북구,24.355288963185124,42.25853942343443,4458260,7735467.899999096
강서구,25.52039629750221,65.19394860225361,5486630,14016047.009998504
관악구,23.48072469318161,53.060304538900674,5150450,11638671.679998785
광진구,22.81056768360555,50.07672092864261,5020720,11022136.65999888
구로구,23.162535841941946,45.044958560817506,4717560,9174396.799998824
금천구,24.28381937369038,32.86892661014219,3789660,5129426.07999896
노원구,24.66204089707898,59.06450395450774,5235480,12538744.479998494
도봉구,25.138206180366293,40.23977950992162,4086140,6540855.439999229
동대문구,22.149240721002187,41.070868024834105,5132710,9517475.459998881
동작구,22.059055803183018,45.15119940925766,4944030,10119602.869998692
마포구,22.30796403339756,60.546046965313806,5557360,15083231.219998976
서대문구,22.411313822374257,46.169867920938366,4952990,10203725.489999063
서초구,23.119681388945068,72.54000388928891,5944440,18651195.639998406
성동구,22.150334205298154,44.74921419736408,5139830,10383741.909998953
성북구,22.716320585566617,48.965616629254406,5232500,11278789.099999089
송파구,25.735699041029726,94.96797291104778,6234190,23004946.789999302
양천구,23.20939417523017,49.18142262669994,4383860,9289534.649998965
영등포구,21.74557132905389,61.763388341601946,5525180,15693026.999999247
용산구,21.820457545094587,38.44415420149062,4959790,8738356.249998817
은평구,24.993078182325416,55.06179240862821,4748160,10460584.259998778
종로구,21.86775373179066,46.074772455685284,5471640,11528599.189999294
중구,21.524816865605217,46.24308624055797,5368440,11533349.409998842
중랑구,23.887740958112836,43.68057531083788,4635870,8477045.569998996
